x
chr8.chr8q_DUP
GAIN_7
GAIN_18p
HLA.C
SEMA3C
COLEC12
TTN
FRAS1
HLA.A
EGFR
CTNND2
BCL11B
CDV3
C9orf43
Baseline_IgM
Hb
Albumin
BMI
