x
CDV3
COLEC12
Baseline_IgM
BMI
BCL11B
CTNND2
GAIN_7
chr8.chr8q_DUP
TTN
Albumin
Hb
SEMA3C
HLA.C
FRAS1
EGFR
C9orf43
HLA.A
GAIN_18p
